business_id,company_age_years,industry_healthcare,industry_retail,industry_technology,industry_other,annual_revenue_inr,gstr1_vs_3b_mismatch,itc_anomaly_ratio,gst_filing_regularity,gst_revenue_volatility,circular_trading_flag,avg_daily_balance_inr,emi_bounce_count,cash_deposit_ratio,inward_bounce_ratio,obligations_to_credit_ratio,credit_score,revenue_growth_yoy,ebitda_margin,interest_coverage_ratio,current_ratio,debt_to_equity,debtor_days,altman_z_score,legal_dispute_flag,litigation_to_revenue,auditor_qualification_flag,mca_compliance_score,sector_headwind_score,site_visit_sentiment,collateral_coverage_ratio,risk_score,risk_category,suggested_loan_limit_inr,suggested_interest_rate_pct,default
1616c3df-e6eb-4683-843e-dd09c32fef64,21,0,1,0,0,4069855,0.0117,0.0228,8,0.2181,0,193036,4,0.2185,0.0,0.2538,700,0.1582,0.1482,2.93,1.027,1.508,47,2.6,0,0.0,0,4,0.418,1,1.497,13.6,LOW,1757437,11.05,0
6eebfe2a-0c55-48c7-bd84-f4f044d3b5f4,11,0,0,0,1,1591926,0.0672,0.0479,7,0.332,0,47577,2,0.2736,0.0173,0.4629,455,0.0215,0.1109,2.072,0.848,2.801,57,1.199,0,0.0,1,4,0.1862,1,0.62,31.8,MEDIUM,542702,11.77,0
b752456e-fc95-47bb-8751-65080e99e792,3,0,0,0,1,1421731,0.212,0.1602,7,0.5076,0,5000,6,0.4497,0.0891,0.4859,437,-0.082,0.0787,1.116,1.046,3.813,84,1.065,0,0.0,1,1,0.4453,-1,0.863,81.8,REJECT,64624,13.77,1
a09d1441-7b38-423e-8dc1-dcc54c9300be,8,0,0,1,0,4082447,0.083,0.0793,8,0.0938,0,195589,2,0.1999,0.0,0.3007,702,0.1584,0.1492,2.686,1.102,1.677,56,2.618,0,0.0,0,4,0.2914,1,1.639,0.0,LOW,2041223,10.5,0
9c853fac-3413-48e1-a941-a82891141a9e,12,0,0,0,1,2022759,0.1158,0.0785,6,0.2621,0,34551,6,0.3393,0.0213,0.3769,574,0.0929,0.0888,1.129,1.0,3.001,54,1.355,0,0.0,0,2,0.2775,-1,0.982,77.3,REJECT,229859,13.59,1
faf79fc9-0b59-4b37-b046-f945ed7b5108,3,0,0,0,1,2973081,0.1147,0.0942,9,0.1459,0,66451,2,0.2111,0.0255,0.3543,536,0.0264,0.0864,1.773,1.007,2.451,55,1.764,0,0.0,0,3,0.2367,1,0.692,27.3,LOW,1081120,11.59,0
f8468218-cf3d-407a-94c1-8b2eb5d0a623,7,0,1,0,0,3853472,0.0,0.0232,10,0.1077,0,270625,3,0.1157,0.0,0.3352,818,0.1048,0.2147,4.944,1.897,0.653,29,3.736,0,0.0,0,5,0.4388,0,1.734,0.0,LOW,1926736,10.5,0
072834c1-f939-46ab-8017-42eb35193f46,14,0,1,0,0,2919117,0.1992,0.1431,4,0.3226,0,38261,5,0.4383,0.0854,0.5751,439,-0.0624,0.0417,1.102,0.611,3.361,82,1.258,0,0.0,0,3,0.3897,0,0.59,86.4,REJECT,99515,13.95,1
0026c7fa-14c5-49df-9c53-0d129f8ffb4c,7,0,0,1,0,3572680,0.1649,0.1393,7,0.4462,0,24376,0,0.4854,0.0612,0.5868,409,-0.0126,0.04,1.234,0.714,3.843,81,1.548,0,0.0,0,1,0.2573,0,0.654,72.7,HIGH,243591,13.41,1
2919de80-4863-489f-bf5a-c8e5d2bf6d4e,7,0,0,0,1,483042,0.2551,0.2104,4,0.3113,0,6058,2,0.4888,0.0854,0.6183,382,0.0583,0.0759,0.715,0.588,3.646,91,0.416,1,0.6666,0,3,0.3457,-1,0.604,81.8,REJECT,21956,13.77,1
906bbb1c-8ce7-4144-a7f7-146abe7b4377,14,0,0,1,0,727029,0.0876,0.0681,10,0.0655,0,25899,6,0.2604,0.0479,0.1947,624,0.0481,0.1855,2.613,1.116,1.617,29,1.472,0,0.0,0,4,0.2972,1,1.356,27.3,LOW,264374,11.59,0
ce30e32b-9566-4151-861e-c64857a9226f,12,1,0,0,0,4732747,0.1234,0.0886,10,0.2264,0,154611,0,0.3677,0.101,0.5051,474,0.0244,0.0348,1.305,1.043,2.818,54,2.233,0,0.0,0,2,0.2185,0,0.882,45.5,MEDIUM,1290749,12.32,0
07e98084-b9e9-4dfd-8efc-5cec9a4c2456,1,1,0,0,0,744323,0.0104,0.0326,10,0.0512,0,33096,5,0.2473,0.0533,0.1295,726,0.0966,0.1403,2.778,1.615,0.68,65,2.011,0,0.0,0,4,0.1073,0,1.353,13.6,LOW,321412,11.05,0
db48987f-cf7b-4b61-bde7-eef571dc590a,5,0,0,1,0,3126823,0.1445,0.1036,6,0.2876,0,101487,0,0.3722,0.0001,0.3539,459,0.1313,0.0593,1.569,1.174,2.624,69,1.797,0,0.0,0,4,0.1526,0,0.808,45.5,MEDIUM,852770,12.32,0
4005ccaf-630f-49cd-b4de-9dfe1c6dce2e,11,0,1,0,0,4186923,0.0124,0.0,10,0.02,0,264431,7,0.0946,0.0223,0.1525,822,0.1979,0.1907,4.583,1.838,0.887,22,3.543,0,0.0,0,5,0.3785,0,1.732,13.6,LOW,1807989,11.05,0
90b0f303-a4e0-4516-be67-cb4e7f296d3c,1,1,0,0,0,3575409,0.1836,0.1597,8,0.3514,0,32212,3,0.4516,0.0681,0.5849,377,-0.1044,0.0521,0.748,0.45,4.168,94,1.429,0,0.0,0,2,0.3332,0,0.485,72.7,HIGH,243777,13.41,1
7d00f97f-73da-4cc5-a459-e59c98bf0eb3,23,1,0,0,0,1245780,0.0111,0.0,10,0.0461,0,50751,3,0.2236,0.0091,0.2931,674,0.1535,0.1601,2.747,1.343,0.889,50,1.964,0,0.0,0,5,0.138,1,1.683,0.0,LOW,622890,10.5,0
8704c22b-61b3-498a-85c5-53ca296dae02,13,0,1,0,0,327084,0.2071,0.1795,7,0.334,0,5999,1,0.4866,0.0709,0.54,411,-0.0743,0.0366,0.489,1.014,4.123,99,0.43,1,0.7512,1,2,0.379,0,0.893,72.7,HIGH,22301,13.41,1
5b8eb61e-d53a-40e7-9660-a024c63119ba,24,0,0,1,0,4533949,0.0415,0.0599,9,0.2322,0,186362,2,0.1645,0.0201,0.2793,643,0.0465,0.0826,3.177,1.529,1.53,43,2.807,0,0.0,0,3,0.2716,0,1.411,0.0,LOW,2266974,10.5,0
1931709f-a996-4ca6-891e-399afc135a09,23,0,0,0,1,902541,0.2152,0.1847,6,0.368,0,15160,0,0.4702,0.0906,0.4913,310,-0.1036,0.011,0.831,0.841,3.696,99,0.462,0,0.0,1,3,0.2665,1,0.865,72.7,HIGH,61536,13.41,1
e291ba85-fba1-4299-9692-f76f6cc61019,17,0,1,0,0,1176363,0.0,0.0214,11,0.1068,0,50917,4,0.1782,0.0,0.1902,711,0.224,0.1669,2.73,1.578,2.17,24,1.764,0,0.0,0,4,0.4138,-1,1.46,31.8,MEDIUM,401032,11.77,0
18cdb528-0804-4d52-8d63-d965c6400f3a,3,0,0,1,0,1901736,0.1364,0.1495,6,0.2484,0,22491,0,0.2573,0.0277,0.4436,590,0.0731,-0.0022,1.301,1.084,2.724,54,1.0,1,0.6329,0,4,0.2011,0,0.936,59.1,HIGH,388991,12.86,0
16c93925-5f3a-4876-918e-7a2462540978,10,1,0,0,0,3893850,0.0155,0.0317,12,0.0809,0,244785,4,0.1445,0.0,0.2216,821,0.2065,0.2356,3.967,2.024,0.96,31,3.684,0,0.0,0,5,0.25,1,1.499,13.6,LOW,1681435,11.05,0
8fc9d71e-fceb-4283-8b99-d85804ebd069,19,0,0,0,1,2398386,0.0186,0.0215,10,0.1736,0,91072,1,0.1828,0.0145,0.3751,622,0.105,0.1556,3.323,1.532,1.597,48,2.259,0,0.0,0,5,0.2244,0,1.248,0.0,LOW,1199193,10.5,0
a2b4fb02-0643-4075-be25-e0a8b851f86e,7,0,0,0,1,4493650,0.2533,0.2353,6,0.2817,0,57186,5,0.5524,0.1193,0.5026,412,-0.0325,0.0795,1.022,0.591,3.307,80,2.023,1,0.1362,0,3,0.4851,0,0.533,81.8,REJECT,204256,13.77,1
4d73fb17-56d7-43eb-942e-36a4a2ab1db5,20,1,0,0,0,2183682,0.0645,0.0867,6,0.2796,0,37262,4,0.2187,0.0514,0.4416,557,0.0668,0.074,0.95,0.717,2.489,67,1.225,0,0.0,0,2,0.125,0,0.673,50.0,MEDIUM,545920,12.5,0
6565dc84-75d5-440e-9393-c491be6c1b46,3,1,0,0,0,4199141,0.1711,0.1723,7,0.2148,0,78411,1,0.4222,0.0536,0.533,400,-0.0325,-0.0218,1.105,0.845,3.214,83,1.645,1,0.5689,1,3,0.1917,-1,0.303,86.4,REJECT,143152,13.95,1
dd6c7bf1-cead-4238-b43f-ffce5de75784,22,0,1,0,0,680155,0.1382,0.1007,9,0.2185,0,16590,2,0.3016,0.0638,0.4714,498,0.0569,0.0929,1.969,1.248,2.482,62,1.032,0,0.0,0,2,0.3504,0,0.999,27.3,LOW,247329,11.59,0
8469448c-eaa9-4e55-9386-be7a7f79da38,12,0,0,1,0,3123249,0.1567,0.0983,6,0.2256,0,74383,1,0.3569,0.0916,0.4613,530,0.1021,0.1182,1.65,0.776,1.566,75,1.941,0,0.0,0,4,0.1137,0,0.965,31.8,MEDIUM,532372,11.77,0
0a0189d1-dc4f-428b-9307-aa136551abd7,22,0,0,0,1,2126479,0.0061,0.0,12,0.1117,0,151063,2,0.1,0.0374,0.1927,817,0.2014,0.2277,5.139,2.164,0.972,39,3.036,0,0.0,0,5,0.3667,1,1.567,0.0,LOW,1063239,10.5,0
587e217d-b5a6-48d6-9a90-82cf947a103d,10,0,1,0,0,912710,0.0986,0.093,6,0.2511,0,28682,0,0.3155,0.0377,0.3796,567,-0.0087,0.0601,1.687,1.336,2.451,55,1.044,0,0.0,0,3,0.3289,0,0.751,18.2,LOW,373381,11.23,0
670648f5-226c-4d85-a6c5-cdbb1392d2d8,21,0,0,0,1,182274,0.0056,0.0077,9,0.0797,0,8329,0,0.1236,0.0,0.3377,744,0.0833,0.1426,2.233,1.4,1.366,34,1.311,0,0.0,0,4,0.3421,1,1.532,13.6,LOW,78709,11.05,0
ac58f014-7dab-45f4-96bc-3ded448003d7,12,0,0,0,1,3337538,0.0402,0.028,10,0.1008,0,135811,3,0.1222,0.0218,0.3188,746,0.0013,0.124,2.946,1.236,1.588,40,2.32,0,0.0,0,4,0.2356,0,1.124,0.0,LOW,1668769,10.5,0
fa338843-843d-4c94-a2c8-74f1c9be117a,15,0,0,1,0,494915,0.2057,0.1758,5,0.3599,0,5000,5,0.4661,0.0478,0.5089,356,0.0716,0.0154,0.898,0.725,2.927,89,0.291,1,0.3667,0,3,0.1792,-1,0.634,95.5,REJECT,5624,14.32,1
493bf4f3-40a3-4b0c-93a3-cdd9d1aef466,6,0,1,0,0,3531286,0.0969,0.0481,10,0.246,0,72131,1,0.2318,0.033,0.3203,537,0.1018,0.1087,1.359,0.89,3.272,58,1.947,1,0.24,1,4,0.3264,-1,0.862,45.5,MEDIUM,963078,12.32,0
602c964e-2ef0-4cfd-8621-64159b7c5a66,19,0,0,1,0,1384305,0.2323,0.1886,8,0.321,0,11607,3,0.4234,0.1152,0.5327,307,-0.0998,0.0041,1.029,0.577,3.459,100,0.475,0,0.0,0,1,0.244,0,0.701,72.7,HIGH,94384,13.41,1
b0adb404-f394-41b8-adf4-7917b8f195ea,5,0,0,0,1,4367907,0.0671,0.076,10,0.226,0,112315,0,0.325,0.0461,0.4909,491,0.0331,0.0532,0.933,1.087,2.442,68,2.222,0,0.0,0,2,0.3246,1,0.729,13.6,LOW,1886141,11.05,0
326748d4-7f36-4e00-98b3-29c8b4cb8d3c,20,0,0,0,1,2349550,0.0291,0.0343,8,0.1848,0,102281,6,0.1309,0.0036,0.3488,615,0.0818,0.1069,3.196,1.079,1.114,49,1.906,1,0.2423,0,3,0.2859,-1,1.318,27.3,LOW,854381,11.59,0
59b4205e-316a-4d85-9756-ed97ad03aa45,2,0,0,1,0,2595409,0.0,0.0138,11,0.1241,0,130859,6,0.2603,0.0065,0.2133,620,0.2126,0.0953,2.449,1.111,1.51,32,1.852,0,0.0,0,4,0.1704,1,1.334,13.6,LOW,1120745,11.05,0
fda5304e-8bc1-421f-bca2-8c701950cd46,21,0,0,1,0,3577033,0.0894,0.1034,7,0.2456,0,74808,7,0.3612,0.011,0.3299,553,-0.0352,0.0844,1.206,1.004,3.055,76,1.946,0,0.0,0,3,0.2252,0,0.946,50.0,MEDIUM,894258,12.5,0
1cb6b1ad-c28d-4128-b1fa-a50264fb45ed,19,1,0,0,0,2609609,0.0372,0.0284,9,0.2585,0,118614,1,0.1014,0.036,0.3565,696,0.1269,0.1748,2.754,1.396,1.914,16,2.283,0,0.0,0,3,0.1658,0,1.316,0.0,LOW,1304804,10.5,0
b886e16b-2818-49ef-b66d-4bc203fa52b8,19,1,0,0,0,3218142,0.2269,0.1684,5,0.2788,1,65628,4,0.4034,0.0884,0.4819,344,-0.0565,0.0345,0.973,0.769,3.842,98,1.419,1,0.7698,0,3,0.1603,-1,0.669,100.0,REJECT,0,14.5,1
ae1d2855-7637-42f6-8611-5d905ab2bd7b,4,0,0,1,0,488890,0.0472,0.0615,9,0.0574,0,23521,1,0.0657,0.0106,0.3106,650,0.1696,0.0948,2.866,1.775,1.719,54,1.379,0,0.0,0,4,0.3575,0,1.738,13.6,LOW,211111,11.05,0
f1ce368a-be5f-49ad-9571-0b73c5f5ca52,20,0,0,1,0,1116757,0.0671,0.0771,12,0.1892,0,50737,6,0.1409,0.016,0.243,680,0.1138,0.1652,2.503,1.421,1.357,40,1.787,0,0.0,0,4,0.2442,0,1.812,27.3,LOW,406093,11.59,0
66c40d8f-a91f-424f-ac9d-22fcb1368947,5,1,0,0,0,3112614,0.0538,0.0542,7,0.2161,0,65324,5,0.3383,0.0196,0.497,451,-0.0555,0.1306,1.398,1.12,1.92,77,2.131,0,0.0,0,2,0.3039,0,0.772,31.8,MEDIUM,1061118,11.77,0
